Step Title,Question Text,Answer,Theme,Number
R1 BREAK,Round 2 will begin after this break!,,,
R2 Q1,"Gin, lemon juice, honey syrup combine to make what cocktail?",Rebel,,
R2 Q2,What musical is this song from?,(Mint),,
R2 Q3,"Airing from 1997 to 2001, what Nickelodeon show featured two rodent brothers who had to frustratingly move out of their parents to live on their own in a forest outside Wayouttatown, Oregon?",,,
R2 Q4,What singer was the first artist to ever have three chart-topping albums by the time he turned 18 and was also the first to ever hold the top three positions on the U.K. singles chart at the same time?,,,
R2 Q5,What was the animal that killed the Crocodile Hunter Steve Irwin?,(Christopher Paolini),,
R2 Q6,Who is the #1 scoring player in NFL History?,a. on my own - patti labelle,,
R2 Q7,What is the TITLE and ARTIST of this song? (2 points),,,
R2 Q8,"Within 10%, how much of our solar system's combinded mass is made up by the Sun?",,,
R2 Q9,"Never losing a man through capture, or a foot of ground to the enemy, what was the name of the first all black regiment of World War I? (",(The Blair Witch Project),,
R2 Q10,"Finish this lyric from Mr. Brightside: ""Coming out of my _____, and I've been doing just fine.""",,,
R2 BREAK,Round 3 will begin after this break!,,,
