Step Title,Question Text,Answer,Theme,Number
R1 Q1,"What TV show does IMBD describe:  Based on Caroline Kepnes' best-selling novel, A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",You,,
R1 Q2,Canola is actually an abbrevition for what?,Canada Oil,,
R1 Q3,"Who is the second largest toy company in the world, and produces everything from Scrabble, to Monopoly, to the Angry Birds franchise?",Hasbro,,
R1 Q4,"On the conrner of Lane and High there is a street sign declaring a second name for Lane Ave, what is it?",The Undisputed Way,,
R1 Q5,What product was this old commercial advertizing?,,,
R1 Q6,"What was the first Pixar movie to have an openly gay(lesbian) character, debuting in 2020?",Onward,,
R1 Q7,Who is the artist of this song?,,,
R1 Q8,How many time zones does Australia have?,3,,
R1 Q9,"What word is defined by Google as: adjective
1.including or containing people from many different countries.
2.(of a plant or animal) found all over the world.",Cosmopolitan,,
R1 Q10,What's the name of this song?,,,
R1 BREAK,Round 2 will begin after this break!,,,
