Step Title,Question Text,Answer,Theme,Number
R2 Q1,In The Fifth Element what was Korben's job?,taxi,,
R2 Q2,What is the birthstone associated with the Cancer zodiac sign?  Cancer season is 19 June – 20 July (but that's the opposite of  helpful info),Emerald,,
R2 Q3,What famous (reconstructed) theater is located on the banks of the River Thames in London?,Globe,,
R2 Q4,What is the name of this SONG?,,,
R2 Q5,In Resident Evil what is Jill's last name?,Valentine,,
R2 Q6,"What magazine was founded in 1886 as a family magazine, then transformed into a literary magazine, before finally settling in 1965 with the subject of women's fashion/entertainment?",Cosmo,,
R2 Q7,What is the name of the COMPOSER of this famous piece?,,,
R2 Q8,"What country is bordered only by China,Cambodia, Vietnam, Myanmar(Burma) and Thailand?",Laos,,
R2 Q9,"In terms of music (and also art, but it's a bit more complicated) what period comes immedietly after Renaissance, and right before Classical?",,,
R2 Q10,The smallest reptile on earth was discovered last year and is a (really adorably tiny) sub-species of what well-known reptile?,chameleon,,
R2 BREAK,Round 3 will begin after this break!,,,
ROUND 3,Round 3 will have  a special THEME that applies to all the ANSWERS this round! It is secrect! If you figure out that the theme is you can wager points to guess what it is. Write your wager+ guess in ROUND 4 section + hand it in at the end of THIS round!,,,
