Step Title,Question Text,Answer,Theme,Number
ROUND 3,Round 3 will have  a special THEME pervades the answers! If you figure out that the theme is you can wager points to guess what it is. Write your wager+ guess at the bottom of the sheet and hand it in at the end of THIS round!,,,
R3 Q1,What is the priciple/thoery in economics that encourages lack of restrictions/interventions from special interest parties?,laissez-faire,,
R3 Q2,What is the LAST WORD in the title of this song?,paris,,
R3 Q3,Honey Birdette is a company that primarily makes what sexy thing?,Lingerie,,
R3 Q4,"Beginning in 2002 in the Democratic Republic of Congo, what was the ""operational name"" given to  the systematic killing of the Eastern Congo's Pygmy population?",effacer le tableau,,
R3 Q5,As what CHARACTER does David Diggs hold the record for fastest rap on Broadway?,Lafayette,,
R3 Q6,What is the LAST WORD in the title of this song?,,,
R3 Q7,Who marries Bill Weasly?,Fleur Delacouer,,
R3 Q8,"What car comoany, now owned by Volkswagen, is creator of not only the most expensive vintage car, but also the fastest",Bugatti,,
R3 Q9,"What Mathematician and Philosopher lived from  1596–1650 and wrote about the ""Duality of Mind and Matter""?",Rene Descartes,,
R3 Q10,"What popular cheap brand of wine also shares a name with an acient term for ""thruple""",Menage a trois,,
