Step Title,Question Text,Answer,Theme,Number
ROUND 3,Round 3 will have  a special THEME to the answers! If you figure out that the theme is you can wager points to guess what it is. Write your wager+ guess at the bottom of the sheet(Round 4 section) and hand it in at the end of THIS round!,,,
R3 Q10,Season 1 Epsiode 14 of LoveDeath and Robots tells the strange story of an intergalactic artist and his strange infatuation with one color. What is the artists name?,Zima,,
R3 Q2,In the 1990 Liberty Bowl OSU played what team for the first and only recorded time in history? (At least that I could find on the internet….),Air Force,,
R3 Q3,"What school are these all Alumni's of? Bill Clinton, TS Elliot, and Lewis Carroll all attended what school?",Oxford,,
R3 Q4,What is the name of Chucky's Bride?,Tiffany,,
R3 Q5,What is the TITLE of this song?,Aqua,,
R3 Q6,In what James Bond movie is Raoul Silva the main villain?,Skyfall,,
R3 Q7,"In what movie do two teenage girls  discover that mermaids really do exist after a violent storm washes one ashore. The mermaid is determined to prove to her father that real love exists, and enlists the girls' help in winning the heart of a handsome lifeguard .",Aquamarine,,
R3 Q8,At the end of the Hans Christian Anderson Tale- The Little Mermaid Ariel throws herself into the sea and turns into what?,Seafoam,,
R3 Q9,"The ______ Mau is a rare breen of cat, one of the few naturally spotted breeds, and maybe one of the oldest breeds of domesticated cat. It is the fasest domesticated cat breed.",Egyptian,,
R3 Q10,"Centaurea cyanus, commonly known as _______ or bachelor's button, is an annual flowering plant in the family Asteraceae native to Europe. It got it's name from originally growing as a weed in certain crops.",,,
