Step Title,Question Text,Answer,Theme,Number
ROUND 3,Round 3 will have  a special THEME that dictates how the answers are SORTED! It is secrect! If you figure out that the theme is you can wager points to guess what it is. Write your wager+ guess at the bottom of the sheet and hand it in at the end of THIS round!,,,
R3 Q1,On April 6th 1893 at 9pm the longest professional boxing match began. It didn't end til roughly 4am. How many rounds was it? (within 10),110,,
R3 Q2,"Within 50, how many islands in Japan are inhabited?",421,,
R3 Q3,What diet from the 90s consisted of low carbs and good fats? The step-father of the Keto diet basically,Atkins,,
R3 Q4,What 1963 Boris Karloff horror film gave its name to a popular heavy metal band?,Black Sabbath,,
R3 Q5,Who is the prime minister of England?,Boris Johnson,,
R3 Q6,What American Idol contestant sang this song?,clay aiken,,
R3 Q7,The idea of Brunch began in 1895 in what country?,England,,
R3 Q8,What is an impact toy consisting of a handle and many tails or falls?,Flogger,,
R3 Q9,What is the NAME of this song? BONUS for ARTIST,Grace Kelly- Mika,,
R3 Q10,"Bob Ross kept a happy little squirrel in his pocket for many episodes of ""The Joy of Painting"". What was his vegetable inspired name?",Peapod,,
