Step Title,Question Text,Answer,Theme,Number
BEGINNING,Round 1 is about to begin,,,
R1 Q1,"What famous actor holds both Guiness World Records for ""Most Credits For the Same Person in a Film"" and ""Most Stunts by a Living Actor""?",Jackie Chan,,
R1 Q2,"Finish this lyric from Raspberry Beret: ""That's when I saw her, Ooh, I saw her    She walked in through the ____  _____""(2 words)",out door,,
R1 Q3,What celestial object is sometimes called the Evening Star and sometimes called the Morning Star?,Venus,,
R1 Q4,What musical is this song from?,,,
R1 Q5,"In the show ""Fairly Odd Parents"" what recurring popstar character",Chip Skylark,,
R1 Q6,What holiday did River Phoenix die on?,Halloween,,
R1 Q7,"1.5 oz White rum, 1 oz Lime juice, .5 oz Simple syrup yeilds what cocktail?",Daquri,,
R1 Q8,Which NFL team features a helmet logo on only one side of their helmet?,Seahawks,,
R1 Q9,What is the TITLE and ARTIST of this song? (2 points),,,
R1 Q10,Where did the final battle in the Vietnam War occur?,Saigon,,
R1 BREAK,Round 2 will begin after this break!,,,
