Step Title,Question Text,Answer,Theme,Number
ROUND 3,Round 3 will have  a special THEME pervades the answers! If you figure out that the theme is you can wager points to guess what it is. Write your wager+ guess at the bottom of the sheet and hand it in at the end of THIS round!,,,
R3 Q1,"Rachel McAddams, Lacey Chabert, and Amanda Seyfried are all part of what exclusive fictional group?",,,
R3 Q2,"The documentary ""Feels Good Man"" tells the story behind what internet phenomena?",,,
R3 Q3,"The subject of trilogy of Disney movies, what do we know the pee-wee hockey team from District 5 of Minneapolis as?",,,
R3 Q4,What is the name of this song?,,,
R3 Q5,"What is the most recent of Bill Hader's projects in which he is not only an actor, but also a co-creator, writer, and director for?",,,
R3 Q6,What is the acronym used for the CompTIA certificate that tests an instructor's expertice in training others in a technical field?,,,
R3 Q7,Name the SONG that this 8-bit cover is of,,,
R3 Q8,"What creature is mythologically associated with fire because they'd ""always mysteriously appear"" around fires- when in reality they just liked chilling in firewood and stuff",,,
R3 Q9,,,,
R3 Q10,,,,
