Step Title,Question Text,Answer,Theme,Number
BEGINNING,Round 1 is about to begin,,,
R1 Q1,"In what movie would you find the exchange:[Ordering from a bar] ""A cranberry juice."" ""What is it, your period?"" ",The Departed,,
R1 Q2,What is the name of this song covered by Kidz Bop?,,,
R1 Q3,What is the only U.S. state that can be typed entirely on one row of a traditional QWERTY keyboard?,Alaska,,
R1 Q4,What is the main psychoactive constituent of peyote?,mescaline,,
R1 Q5,What is the TITLE and ARTIST of this song? (2 points),Slut Pop,,
R1 Q6,What YouTuber this week PROVED that he is definetly a snake-lover in his viral video where he crafts prosthetic legs for the reptiles?,Alan Pan,,
R1 Q7,The first United Dairy Farmers store was opened in 1940 in what state?,Ohio,,
R1 Q8,"For who did the NFL announce today a fine of 5 million dollars, and an 11 day suspension following a very long list of sexual misconduct complaints?",,,
R1 Q9,"Geochemist, Clair Patterson, in collaboration with George Tilton, was the first to accuratly calculate the age (some billions of years) of what?",The earth,,
R1 Q10,What board game has raised the most money ever on Kickstater with currently over $13 million raised?,FrostHaven,,
R1 BREAK,Round 2 will begin after this break!,,,
