Step Title,Question Text,Answer,Theme,Number
R1 BREAK,Round 2 will begin after this break!,,,
R2 Q1,,,,
R2 Q2,,,,
ROUND 3,Round 3 will have  a special THEME that applies to all the ANSWERS this round! It is secrect! If you figure out that the theme is you can wager points to guess what it is. Write your wager+ guess in ROUND 4 section + hand it in at the end of THIS round!,,,
R3 Q1,"Formerly called Hull Alley, in 2019 what did the city of Columbus rename the alleyway between Union Café and The Eagle restaurant?",Nina West Way,,
R3 Q2,"1: any of various fabrics with a pile or napped surface resembling velvet used in heavy weights for upholstery and curtains and in lighter weights for clothing
also : the article of clothing itself
2: a fur felt (as of rabbit or nutria) finished with a long velvety nap and used especially for hats",velour,,
R3 Q3,"What show is described on IMDB as: A U.S. Marshal becomes the sheriff of ______, a remote, cozy little Northwestern town where the best minds in the US have secretly been tucked away to build futuristic inventions for the government which often go disastrously wrong.",Eureka,,
R3 Q4,What state has more active volcanoes that any other? Roughly 141,Alaska,,
R3 Q5,What company makes Barbue and also Hot Wheels?,Mattell,,
R3 Q6,In 2008 astronaut Yi So-yeon brought what Korean side dish to space (after scientists developed a space-safe version)?,Kimchi,,
R3 Q7,This commercial is advertizing what product?,Milk,,
R3 Q8,What is the name of this song?,Detox,,
R3 Q9,Who is the artist of this song?,B.o.b,,
R3 Q10,"In Disney's The Little Mermaid, who did the artists base their characterization of Ursula on?",Divine,,
