Step Title,Question Text,Answer,Theme,Number
ROUND 3,Round 3 will have  a special THEME that applies to all the ANSWERS this round! It is secrect! If you figure out that the theme is you can wager points to guess what it is. Write your wager+ guess in ROUND 4 section + hand it in at the end of THIS round!,,,
R3 Q1,What is the name of this SONG?,jokerman,,
R3 Q2,What theater is located near the intersection of Broadway and 53rd St in New York City?,Broadway,,
R3 Q3,"Confusingly both Vipera berus, a venomous viper species found in Europe and Asia
Eastern hognose snake, a non-venomous snake found in the United States go by the SAME common name, what is it? HINT: Color is involved",blackadder,,
R3 Q4,What is the birthstone associated with the Leo zodiac sign?  Leo season is 23 July – 22 August HINT: It's more stone-y than gem-y,Onyx,,
R3 Q5,In England they name eras after the current Monarch. When Queen Victoria died in 1901 the Victorian era ended and what era began?,Edwardian,,
R3 Q6,What is the name of the COMPOSER of this famous piece?,vivaldi,,
R3 Q7,"What is a (slightly fancy) word for the job that Fry, Bender, and Leela from Futurama have in common with Joseph-Gordon Levitt's character in Premium Rush",courier,,
R3 Q8,What character in Undertale could be described as a flamboyant skeleton?,Papyrus,,
R3 Q9,"What theater ""magazine"" does have a monthly production, but by and large is distributed at shows?",Playbill,,
R3 Q10,"What country is bordered by Russia, Turkey, Azerbaijan, and Armenia?",Georgia,,
