Step Title,Question Text,Answer,Theme,Number
INTRO,Round 1 is about to begin!,,,
R1 Q1,"What is the name of the first ever looping roller coaster? HINT: It's got 3 ""oop""s",,,
R1 Q2,"What board game is based off of colorful tiles of Portugal, with the objective being decorating your palace with specific patterns and completing sets?",,,
R1 Q3,"What 90s cartoon is being described? Features species of nocturnal creatures  that turn to stone during the day. After spending a thousand years in an enchanted petrified state, they are reawakened in modern-day New York City, and take on roles as the city's secret night-time protectors. ",,,
R1 Q4,The deadliest one-day battle in American history is the what?,,,
R1 Q5,What country group sings this song?,,,
R1 Q6,What sitcom  ran from 1990-1996;  Has 148 Episodes; IMDb rating: 7.7; Has the setting: Los Angeles County ,,,
R1 Q7,What is Steve Carell 's Ohio alma mater?,,,
R1 Q8,What animal is having sex in this audio?,,,
R1 Q9,Which famous actor got his start playing young Mason Capwell on NBC's Santa Barbara?,,,
R1 Q10,What Dr Seuss book is this quote from? “Look at me! Look at me! Look at me NOW! It is fun to have fun But you have to know how.”,,,
R1 BREAK,Round 2 will begin after this break!,,,
