Step Title,Question Text,Answer,Theme,Number
R1 BREAK,Round 2 will begin after this break!,,,
R2 Q1,In 2017 Bitcoin underwent a giant split in ideaology which resulted in a war between two factions: Bitcoin and Bitcoin ____.,Cash,tech,1
R2 Q2,Phencyclidine (PCP) is classified into which schedule by the Comprehensive Drug Abuse Prevention and Control Act of 1970?,Schedule II,drugs,2
R2 Q3,"Popular Youtuber Andrew Callaghan formerly from ""All Gas No Brakes"" broke ties in April of 2021 to start what new channel?",Channel 5,youtube,3
R2 Q4,What is the TITLE and ARTIST of this song? (2 points),,song,4
R2 Q5,What is Baskin-Robbins' parent company?,Dunkin,dairy,5
R2 Q6,Which collegiate athletic conference today signed the largest ever television agreement averaging over $1 billion a year?,Big10,sport,6
R2 Q7,In what organ of the human body would you find the endometrium?,,science,7
R2 Q8,What is the name of this song covered by Kidz Bop?,,Kidz,8
R2 Q9,"In what movie would you find the exchange:"" What we do is, if we need that extra push over the cliff, you know what we do?"" ""Put it up to eleven.""",Spinal,Movie Quote,
R2 Q10,What recent popular board game involves building beautiful tile boards and gaining points through making patterns with your tiles?,Azul,board game,
R2 BREAK,Round 3 will begin after this break!,,,
