Step Title,Question Text,Answer,Theme,Number
BEGINNING,Round 1 is about to begin,,,
R1 Q1,"In England, they call them dungarees, but in the US, we call this article of clothing what?",overalls,,
R1 Q2,"What famous Chris is called “The Point God”, an American professional basketball player who plays for the Phoenix Suns of the National Basketball Association. Paul is widely regarded as one of the greatest point guards of all time.",Chris Paul,,
R1 Q3,"What author wrote these 3 works? Revolting Rhymes, Going Solo, George's Marvellous Medicine",Rhoald Dahl,,
R1 Q4,What country lies on Israel's northern border?,Lebanon,,
R1 Q5,"In what song would you find the lyrics ""Doing crystal meth will lift you up until you break""?",,,
R1 Q6,Who was the first woman to be elected Secretary of State in the United States?,,,
R1 Q7,What is the TITLE and ARTIST of this song? (2 points),,,
R1 Q8,"Name this video game based on characters last names: Freeman, Calhoun,Kleiner,Vance",Half Life,,
R1 Q9,"In what decade was the modern toy ""Hula Hoop"" invented?",50s,,
R1 Q10,"In Latin it means ""to shake violently"", what is the most common type of traumatic brain injury?",Concussion,,
R1 BREAK,Round 2 will begin after this break!,,,
