Step Title,Question Text,Answer,Theme,Number
R1 BREAK,Round 2 will begin after this break!,,,
R2 Q1,"Jenny Was a Friend of Mine, Believe Me Natalie, Smile Like You Mean It",Maine, Which is the only state with a one-syllable name?,Maine
R2 Q2,What's the name of this SONG I grew up listening to?,,"a ""hand: a unit which is used for the measurement of what thing?",
R2 Q3,What does RAM in a computer stand for?,70,What is the ABV of  Purell Hand Sanatizer?,70
R2 Q4,In what important text did most modern-day depictions of unicorns stem from confusing translations of?,Gus Matthews,"Which basketball player nicknamed ""The Wizard"" began his career with the Golden State Warriors and finished with the Atlanta Hawks?",Gus Matthews
R2 Q5,What job do I work besides running trivia currently?,,"What is the name of the ARTIST of this song, and also what YEAR did it come out in?",
R2 Q6,What used to be the really super sad prize for 3rd place at Zeno's?,Zac Effron,Which main character's actor did not sing in the first High School Musical?,Zac Effron
R2 Q7,Name the SONG that this 8-bit cover is of,,What video game would you find this music in?,
R2 Q8,"The Kiss, Mother and Child, The Virgin Women are all paintings by what artist?",Seattle,"Where would you find the ""BFI"" airport? (City+state)",Seattle
R2 Q9,The most basic rule of caligraphy is to make which kind of strokes THICK?,,What song from Glee is being covered here?,
R2 Q10,What anime is is this intro from?,"Dory(19), Bambi(581), or Jafar(297)","Who has more submissions on Rule 34*:Dory, Bambi, or Jafar?    *Specifically the .xxx site","Dory(19), Bambi(581), or Jafar(297)"
R2 BREAK,Round 3 will begin after this break!,,,
