Step Title,Question Text,Answer,Theme,Number
ROUND 3,Round 3 will have  a special THEME that applies to all the ANSWERS this round! It is secrect! If you figure out that the theme is you can wager points to guess what it is. Write your wager+ guess in ROUND 4 section + hand it in at the end of THIS round!,,,
R3 Q1,"What actor's less popular roles include Wayne Campbell in Wayne's World, as well as The Cat in the 2003 film Cat in the Hat?",michael meyer,,
R3 Q2,Yesterday evening the death of Luke Knox was confirmed. For what professional football team does his brother play?,Buffalo Bills,,
R3 Q3,This was orginally used as a tool to teach geography and takes its name from the tool used cut its intricate lines,jigsaw,,
R3 Q4,What is the name of this song covered by Kidz Bop?,The Man,,
R3 Q5,In what game do players attempt to bring their goods to market in a Robin-Hood-esque setting?,Sherrif of Nottingham,,
R3 Q6,What Netflix show that aired from 2013-2017 investigates a teen's peculiar relationship with his mother Norma?,Bates Motel,,
R3 Q7,What is the TITLE and ARTIST of this song? (2 points),Discord,,
R3 Q8,From which movie would you find the quote: …they have a saying in Chicago: 'Once is happenstance. Twice is coincidence. The third time it's enemy action'.”,Goldfinger,,
R3 Q9,Today Jim Rutherford finally opened up about why he abruptly left which NHL team as GM?,penguins,,
R3 Q10,"Newline (line feed) character ('\n'), carriage-return character ('\r'),  next-line character ('\u0085'), are all examples of line _______s in Regular Expressions",Terminator,,
