Step Title,Question Text,Answer,Theme,Number
R1 BREAK,Round 2 will begin after this break!,,,
R2 Q1,What TV show has the IMDB description: A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,Orphan,Shows by description,1
R2 Q2,"Recently reaching the 1 billion dollar revenue mark in 2021, what toy company do I think is bullshit because they're just ""nostalgic collectables"" done in a different style.",Funko,Toys,2
R2 Q3,Who is the artist of this song?,,Music,3
R2 Q4,What liquid turns a plain martini into a dirty martini?,olive,Food,
R2 Q5,"In 2020 Columbus named 16th Ave at High St after a local rock musician legend, what is his name?",Willie Pheonix,Columbus,
R2 Q6,What product is being advertized in this commercial?,,Commercials,
R2 Q7,What is the name of Pixar’s lamp mascot?,Luxo Jr,Gay,
R2 Q8,What country does the Rhine River run through?,Germany,Geography,
R2 Q9,What word is defined by google as - adverb: therefore,,Word by Def,
R2 Q10,What's the name of this song?,,,
R2 BREAK,Round 3 will begin after this break!,,,
ROUND 3,Round 3 will have  a special THEME that applies to all the ANSWERS this round! It is secrect! If you figure out that the theme is you can wager points to guess what it is. Write your wager+ guess in ROUND 4 section + hand it in at the end of THIS round!,,,
R3 Q1,,,,
R3 Q2,,,,
R3 Q3,,,,
R3 Q4,,,,
R3 Q5,,,,
R3 Q6,,,,
R3 Q7,,,,
R3 Q8,,,,
R3 Q9,,,,
R3 Q10,,,,
