Step Title,Question Text,Answer,Theme,Number
BEGINNING,Round 1 is about to begin,,,
R1 Q1,"What historical figure appeared on the face of the US dollar coins minted from 1979 to 1981, and again in 1999?",Susan B. Anthony,,
R1 Q2,In which horror film does the phrase “the power of Christ compels you.” appear? ,Exorcist,,
R1 Q3,What quarterback lead the Buckeyes to victory in the 1997 Rose Bowl?,Joe Germaine,,
R1 Q4,"What Disney Prince said ""UM… YOU... YOU FIGHT GOOD.""",Li Shang,,
R1 Q5,A cat breed with a color point coat and striking blue eyes. Their form is large and muscular and their coat is silky soft and semi-longhair. Ragdolls were developed by American breeder Ann Baker in the 1960s. They are best known for their docile and placid temperament and affectionate nature.,Ragdoll,,
R1 Q6,What is the TITLE of this song?,,,
R1 Q7,"Buzz Aldrin, Salman Khan(Khan Acadamey), Drew Houston(Dropbox) all share which Alma Mater?",MIT,,
R1 Q8,Native primarily to the Midwestern and lower Great Plains regions of the U.S. what tree has the Latin name Aesculus Glabra?,Ohio Buckeye,,
R1 Q9,"In the story Gift of the Magi, what is it that the woman sells to be able to afford a gift for her husband?",His Watch,,
R1 Q10,In which James Bond movie is Hugo Drax the main villan?,Moonraker,,
R1 BREAK,Round 2 will begin after this break!,,,
